Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Included / vit,Price / vit,Compare At Price / vit,Included / الامارات العربية المتحدة,Price / الامارات العربية المتحدة,Compare At Price / الامارات العربية المتحدة,Status
eyelash-serum-from-etude-house,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/1445-08-01_11.04.33_4e2d07d8.jpg?v=1707769737,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyelash-serum-from-etude-house,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/1445-08-01_11.04.33_bbcc9a18.jpg?v=1707642668,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyelash-serum-from-etude-house,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/1445-08-01_11.04.34_95b1629d.jpg?v=1707642667,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmstay-dr-v8-vitamin-foam-cleansing,Farmstay DR-V8 Vitamin Foam Cleansing,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Farmstay DR-V8 Vitamin Foam Cleansing at yax page 😃😃</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">غسول الخضار الفوم من فارم ستاي♥♥♥</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">🍋🍋🍋🍋</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">الحجم 100 مل😊</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">صناعة كوري😊😊</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">دا غسول فيتامينات زي Soap and Glory بالظبط 🍊</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">دا البديل العربي بتاع</span></p>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎7 x 4 x 17 cm; 100 Grams,,,,,VTI123-20,100.0,shopify,continue,manual,71.99,100.99,true,true,‎B085XC1L8K,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/9739_drv8-vitamin-foam-cleansing-farmstay.jpg?v=1707775501,1,"",false,,,,,,,,,,,,,,,g,,66.99,true,,,true,,,true,,,active
farmstay-dr-v8-vitamin-foam-cleansing,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/2.9.jpg?v=1707775500,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmstay-dr-v8-vitamin-foam-cleansing,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/5872514d2393a2c075b30db4f55a89c1c5f32aae_1002_1024.jpg?v=1707775500,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
missha-aqua-sun-sunscreen-gel-safe-gel-spf-50-for-facial-skin-care,"Missha Aqua Sun Sunscreen Gel, Safe Gel SPF 50 for Facial Skin Care","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">جل منعش يوفر فوائد الحماية من الشمس والترطيب</span></p>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">- يحتوي على عامل حماية من الشمس (SPF) واسع النطاق يحمي البشرة من الأشعة فوق البنفسجية الضارة</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">- الشاي الشرقي نيوبلكس وثاناكا الجدير بالرائحة من عوامل الجذب الضارة</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">-مقتطفات من شجرة الباوباب نجم الأدينيوم و</span></div>",Victoria beauty,,مستحضرات كورية,"",true,Size,‎5 x 5 x 5 cm; 80 Grams,,,,,VTI123-8,80.0,shopify,continue,manual,89.99,100.99,true,true,‎B092V5SPQS,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095236284.jpg?v=1707775885,1,"",false,,,,,,,,,,,,,,,g,,84.99,true,,,true,,,true,,,active
missha-aqua-sun-sunscreen-gel-safe-gel-spf-50-for-facial-skin-care,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095225933.jpg?v=1707775884,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
store-pickup-app,Pickup Instore,"",VICTORIA& MAGIC& Cosmetics,,"","",true,Title,Default Title,,,,,pickup-instore,92000000.0,shopify,continue,manual,0.00,,true,false,store-pickup,https://cdn.shopify.com/s/files/1/0853/0195/2795/products/banner.jpg?v=1708156619,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
prreti-pure-white-milk-cream,PRRETI Pure White Milk Cream,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">كريم الحليب الأبيض النقي من PRRETI</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">بريتى بيور وايت ميلك كريم</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">👈 كريم تفتيح و مرطب للإسمرار و يوحد لون البشرة و يزيد من خياراتها .</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">👈 جميع أنواع البشرة الخاصة التي تحتاج لتوحيد لونها و اقرأ من إشراقها .</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">👈يتحقق ظهور الخلايا البيضاء و نتيجة ظهور الزهور البيضاء ( بدأت تظهر بفاعلية و إشراقها ) .</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">👈 الألانتوين و خلاصة التوت ( يرطب و يحافظ على رائحة الجلد و مضاد للأكسدة و الإجهاد )</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">👈 ملمس كريمي حمام دهني يحافظ على رطوبة البشرة من الترطيب وتعليقاتها من الجفاف .</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">👈 تفتيح لون البشرة بشكل فوري .</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">👈 يناسب الوجه ومناطق الجسم مثل منطقة الإبطين وخط البكيني .</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">✅ طريقة الإستخدام :</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">- وزعيه على البشرة النظيفة و العنق .</span></p>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,4.2 x 12 x 4.2 cm; 50 grams,,,,,VTI123-9,150.0,shopify,continue,manual,90.99,101.99,true,true,‎B078TJVYLY,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4061276103.jpg?v=1707776371,1,"",false,,,,,,,,,,,,,,,g,,85.99,true,,,true,,,true,,,active
prreti-pure-white-milk-cream,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4061276108.jpg?v=1707776370,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
prreti-pure-white-milk-cream,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4061279772.jpg?v=1707776371,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
purederm-exfoliating-foot-mask,Purederm exfoliating foot mask,"<p data-mce-fragment=""1""><span data-mce-fragment=""1""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">مع زبدة الشيا والتفاح والنعناع وغيرها من المكونات العلاجية الطبيعية، يعمل قناع العلاج من بيورديرم على تنعيم وتهدئة وتجديد الأقدام وييوب الساخن والمتشققة والمتصلبة بشكل ملحوظ، مما يؤدي بشكل ملحوظ إلى ظهور وملمس القدم الناعمة.</font></font></span></p>
<div data-mce-fragment=""1""><span><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">يوفر قناع القدم ""من نوع المظهر"" المصمم الجديد للمرطبات والعوامل العلاجية لبشرتك المميزة للحصول على مظهر أكثر تميزًا وإشراقًا.</font></font></span></div>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎ 13.21 x 1.52 x 24.38 cm; 20 Grams,,,,,VTI123-10,0.5,shopify,continue,manual,19.99,10.99,true,true,B07NF2BVKS,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095267034.jpg?v=1707779592,1,"",false,,,,,,,,,,,,,,,g,,14.99,true,,,true,,,true,,,active
purederm-exfoliating-foot-mask,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095218433.jpg?v=1707779592,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
some-by-mi-aha-bha-pha-30-days-miracle-starter-kit-green-4-count-pack-of-1,"SOME BY MI AHA.BHA.PHA 30 Days Miracle Starter Kit, Green, 4 Count (Pack of 1)","<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">مجموعة معجزة لمدة 30 يومًا من Some by Mi</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">سيت ميركل التتحفففففه لحل كلللمشكلكل الحقوها قبل ماتخلص</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">المجموعة تتكون من صابونه للوجةولجسم عادي لو في حبوب مضيقاكي ،تونر،سيرم واجتماعي👌🏻</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">الخطوة الأولى1️⃣</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">AHA، BHA، PHA 30 Days Miracle Cleansing Bar: يوفر التطهير العميق للجلد بمكونات مشتتة من الطبيعة💧 بخلاصة زيت الشاي الاخضر يعمل على تقليل الحبوب و ترطيبها و بتقلل من الكمية المطلوبة الأثار🤩</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">الخطوة الثانية2️⃣</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">أها، بها، فا 30</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">مسحوق الحبر</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">يحتوي تونر ميركل علي زيوت طبيعية (pH5.5) على مكونات AHA و BHA و PHA يساعد على تقشير البشرة بشكل فعال كما يحتوي على 10000 جزء من مليون من ماء أوراق شجرة الشاي يساعد في علاج الحبوب والالتهابات😍</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">الخطوة الثالثة3️⃣</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">أها، بها، فا 30</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">المصل:</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">يحتوي على 10000 ورقة جزء في المليون من شاي شجرة الشاي يقلل من حجم الحبوب ويتوقع من مخدرها 😍👌🏻</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">الخطوة الرابعة4️⃣</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">أها، بها</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">، مرطب PHA 30:</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">يعمل المرطب علي تقليل الكاريزات و يرطب الفاكهة الكرزية أي جفاف و زيادة النسيج بما في ذلك ما يحتاجه لبشرة مشرق و نضرة بدون أي حبوب</span></div>
</div>
</div>
</div>
</div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1"">
<div data-mce-fragment=""1""></div>
</div>
</li>
</ul>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎19.4 x 12.1 x 3.1 cm; 160 Grams,,,,,VIT123-11,160.0,shopify,continue,manual,115.99,125.99,true,true,B083NHB1NR,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/61cu8a7YNDL._AC_SY450.jpg?v=1707780413,1,"",false,,,,,,,,,,,,,,,g,,110.99,true,,,true,,,true,,,active
some-by-mi-aha-bha-pha-30-days-miracle-starter-kit-green-4-count-pack-of-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/61VblkCKiJL._AC_SY450.jpg?v=1707780412,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
some-by-mi-aha-bha-pha-30-days-miracle-starter-kit-green-4-count-pack-of-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/616vTstw6aL._AC_SY450.jpg?v=1707780412,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-shampoo-285ml,Some By Mi Cica Peptide Anti Hair Loss Derma Scalp Shampoo 285ml,"<p>تم تركيبه بتركيز عالٍ من مكونات السيكا للتخفيف من إجهاد فروة الرأس والاضطراب.<br data-mce-fragment=""1"">يغذي فروة الرأس بالبيوتين والبروتينات من الفول والقمح والذرة للمساعدة في الحصول على شعر صحي. يهدئ ويوفر تأثيرًا متجددًا لفروة الرأس المتهيجة باستخدام السيكا.<br data-mce-fragment=""1"">محمل بـ pha لامتصاص خلايا الجلد الميتة والشوائب والزهم لخلق بيئة نظيفة لفروة الرأس.</p>
<p>على الشعر المبلل وفروة الرأس، ضعي كمية مناسبة من الشامبو ودلكي حتى تتكون رغوة، ثم اغسليه بالماء الفاتر.</p>",VICTORIA& MAGIC& Cosmetics,,"","",true,Size,‎5.5 x 5.5 x 17.5 cm; 0.34 Grams,,,,,VIT123-14,0.0,shopify,deny,manual,74.99,84.99,true,true,‎B08Q7B2V18,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/51-9sMu-fKL._AC_SL1080.jpg?v=1708177254,1,"",false,,,,,,,,,,,,,,,g,,69.99,true,,,true,,,true,,,active
some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-shampoo-285ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/51x1smEX_VL._AC_SX679.jpg?v=1708177253,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-shampoo-285ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71Hi9yzjUJL._AC_SY879.jpg?v=1708177254,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-shampoo-285ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71Yo4UgSBeL._AC_SY879.jpg?v=1708177253,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-treatment-50ml,Some By Mi Cica Peptide Anti Hair Loss Derma Scalp Treatment 50ml,"<div>
<p><span>تم تركيبه بتركيز عالٍ من مكونات CICA لتخفيف فروة الرأس المجهدة والمتاعب.</span></p>
<div><span>يحتوي على مركب أسود للمساعدة في خلق فروة رأس صحية ومع البيوتين لتغذية فروة الرأس للمساعدة في تحقيق مرونة شعر صحية.</span></div>
<div><span>إنه مملوء بـ 11 نوعًا من الببتيدات لتوفير الرطوبة والمواد المغذية لشعر لامع وصحي</span></div>
</div>
<ul></ul>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎4.5 x 4.5 x 16.5 cm; 0.19 Grams,,,,,VIT123-12,0.19,shopify,continue,manual,39.99,50.99,true,true,‎ B08N6T5LN7,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/51j32uRpyBL._AC_SY450.jpg?v=1707780864,1,"",false,,,,,,,,,,,,,,,g,,34.99,true,,,true,,,true,,,active
some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-treatment-50ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/41FvrSDzokL._AC_SY450.jpg?v=1707780863,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-treatment-50ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/616rWbambqL._AC_SY741.jpg?v=1707780863,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun-block-la-roche-gel-cream,Sun Block La Roche Gel Cream,"<span data-mce-fragment=""1"">La Roche-Posay Anthelios UVmune 400 Gel-Crème Oil Control SPF50+ مع Parfum 50 ml هو كريم شمسي عالي الحماية (SPF50+) للبشرة العشبية والحساسة. </span><span data-mce-fragment=""1"">تم تركيبه باستخدام فلتر UV Mexoryl 400 ضد أشعة UVA وUVB. </span><span data-mce-fragment=""1"">تعمل تقنية التحكم في الدهون من خلال الجسيمات الدقيقة Airlicium التي تمتص الدهون الزائدة بشكل فوري وتساعد على التحكم في مصادر التألق (الدهون والجلد والرطوبة)، للمساعدة في تقليل مظهر الجلد على طول الجلد يوم، يوم بعد يوم. </span><span data-mce-fragment=""1"">مقاوم للماء والجلد والرمل. </span><span data-mce-fragment=""1"">نسيج ناعم إلى حد غير مرئي، غير عشبي وبدون آثار بيضاء. </span><span data-mce-fragment=""1"">تم اختباره على البشرة الحساسة والمتفاعلة وغير المتسامحة مع الشمس</span>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎50 x 50 x 28 cm; 50 Grams,,,,,VIT123-13,50.0,shopify,continue,manual,85.99,97.99,true,true,B01N9GJVM3,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095218358.jpg?v=1707781305,1,"",false,,,,,,,,,,,,,,,g,,80.99,true,,,true,,,true,,,active
sun-block-la-roche-gel-cream,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095236304.jpg?v=1707781305,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun-block-la-roche-gel-cream,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095243551.jpg?v=1707781197,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrazen-aqua-korean-face-skin-care-deep-moisturizing-nourishing-hydrating-essence-anti-aging-facial-care-serum-150ml-reduce-fine-line-wrinkle-with-natural-ingredients,"TERRAZEN AQUA Korean Face Skin Care Deep Moisturizing Nourishing Hydrating Essence - Anti Aging Facial Care Serum 150ml - Reduce Fine Line, Wrinkle with Natural Ingredients","<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span class=""a-list-item"" data-verified=""redactor"" data-redactor-tag=""span"" data-redactor-class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">جوهر العلاج: الخطوة الأولى للعناية بالبشرة الجافة والمجففة. إنه يروي البشرة العطشى بسرعة وعمق للحصول على بشرة أكثر نعومة وصحة.</span></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-verified=""redactor"" data-redactor-tag=""span"" data-redactor-class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">HYDRA BOOSTER: تجمع هذه التركيبة المتقدمة بين 7 أوزان مختلفة من أحماض الهيالورونيك لترطيب متعدد العمق. هذا النظام مدعم بإضافة البانثينول (فيتامين ب5) و3% بروبانديول.</span></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-verified=""redactor"" data-redactor-tag=""span"" data-redactor-class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">تجديد حاجز البشرة: مزيج من البروبيوتيك والبروبيوتيك يدعم ميكروبيوم البشرة ويجدد البيئة الدقيقة لسطح البشرة للحصول على مظهر هادئ ومتساوي وصحي.</span></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-verified=""redactor"" data-redactor-tag=""span"" data-redactor-class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">جوهر التخمير الدقيق: يساعدك جوهر المغذيات الدقيقة المدعوم من مرشح تخمير بيفيدا على تجربة تغيير أسرع وتوازن مثالي. فهو يساعد بشرتك على أن تبدو حية ونابضة بالحياة وأصغر سناً وأكثر صحة بشكل لا يصدق.</span></span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-verified=""redactor"" data-redactor-tag=""span"" data-redactor-class=""a-list-item"" data-mce-fragment=""1""><span data-mce-fragment=""1"">تركيبة لطيفة محببة للبشرة: خلاصة العلاج هذه مناسبة لجميع أنواع البشرة، بما في ذلك البشرة الدهنية والجافة والحساسة [تم اختبارها من قبل أطباء الجلدية).</span></span></li>
</ul>",Victoria beauty,,مستحضرات كورية,"",true,Title,Default Title,,,,,VIT123-14,390.0,shopify,continue,manual,58.99,70.99,true,true,B0CJTW8MGY,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71Y51TkpNnL._AC_SY450.jpg?v=1707781776,1,"",false,,,,,,,,,,,,,,,g,,53.99,true,,,true,,,true,,,active
terrazen-aqua-korean-face-skin-care-deep-moisturizing-nourishing-hydrating-essence-anti-aging-facial-care-serum-150ml-reduce-fine-line-wrinkle-with-natural-ingredients,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71v4X5Pu6QL._AC_SY450.jpg?v=1707781775,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrazen-aqua-korean-face-skin-care-deep-moisturizing-nourishing-hydrating-essence-anti-aging-facial-care-serum-150ml-reduce-fine-line-wrinkle-with-natural-ingredients,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71eSQIuEgOL._AC_SY450.jpg?v=1707781775,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrazen-aqua-korean-face-skin-care-deep-moisturizing-nourishing-hydrating-essence-anti-aging-facial-care-serum-150ml-reduce-fine-line-wrinkle-with-natural-ingredients,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71g8C7c-VAL._AC_SY450.jpg?v=1707781777,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrazen-aqua-korean-face-skin-care-deep-moisturizing-nourishing-hydrating-essence-anti-aging-facial-care-serum-150ml-reduce-fine-line-wrinkle-with-natural-ingredients,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71EMWBr2DeL._AC_SY450.jpg?v=1707781774,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonymoly-pandas-dream-white-sleeping-pack,TONYMOLY Panda's Dream White Sleeping Pack,"<p data-mce-fragment=""1"">بينما تحلم بعيدًا، يعمل قناع النوم Panda's Dream بجد لتفتيح لون بشرتك، حتى تتمكن من الاستيقاظ ببشرة صحية ومضيئة! البشرة الأكثر نعومة ونعومة بشكل واضح هي مجرد راحة جيدة في الليل مع قناعنا الخفيف الوزن والمشرق.</p>
<div data-mce-fragment=""1"">
<div data-mce-fragment=""1""></div>
</div>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,‎6.99 x 6.99 x 7.62 cm; 453.59 Grams,,,,,VTI123-19,49.9,shopify,continue,manual,132.99,144.99,true,true,B071JDFW1L,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/TOMO0037F_1.jpg?v=1707860078,1,"",false,,,,,,,,,,,,,,,g,,127.99,true,,,true,,,true,,,active
tonymoly-pandas-dream-white-sleeping-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/51eoHQx3CiL._AC_UF1000_1000_QL80.jpg?v=1707860078,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonymoly-pandas-dream-white-sleeping-pack,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/Tony-Moly_Pandas-Dream_White-Sleeping-Pack.jpg?v=1707860077,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonymoly-tako-pore-blackhead-scrub-stick,TONYMOLY Tako Pore Blackhead Scrub Stick,"<span data-mce-fragment=""1"">تخلصي من الرؤوس السوداء والرؤوس البيضاء باستخدام عصا التنظيف الرائعة والسريعة! </span><span data-mce-fragment=""1"">يتكون تكتل بلسم كلاي الأسود من حبيبات السليلوز، ويزيل التقدم بشكل فعال ويقشر المسام السوداء لسحب الرؤوس والرؤوس البيضاء وشوائب الجلد الآخر حتى تبدو البشرة منظفة أكثر ونعومة ونقاء. للبشرة</span>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,4.29 x 4.29 x 4.6 cm; 11.34 Grams,,,,,VTI123-18,4.6,shopify,continue,manual,70.99,85.99,true,true,B075GWQMP6,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/art_thumb_95145.jpg?v=1707857150,1,"",false,,,,,,,,,,,,,,,g,,65.99,true,,,true,,,true,,,active
tonymoly-tako-pore-blackhead-scrub-stick,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/Tonimoly-Tako-Pore-Blackhead-Scrub-Stick-shopandshop-22_1.jpg?v=1707857150,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
